JerseyNo,Date,TRB,AST,STL,PTS
13,2017-10-18,0,0,0,0
13,2017-10-21,0,0,0,0
13,2017-10-23,0,0,0,0
13,2017-10-25,8,0,0,4
13,2017-10-28,3,0,1,6
13,2017-10-30,13,0,0,13
13,2017-11-01,4,0,2,4
13,2017-11-03,1,0,0,0
13,2017-11-05,0,0,0,0
13,2017-11-06,6,0,1,3
13,2017-11-08,0,0,0,0
13,2017-11-10,0,0,0,0
13,2017-11-12,0,0,0,0
13,2017-11-15,0,0,0,0
13,2017-11-17,1,0,0,1
13,2017-11-19,0,0,0,4
13,2017-11-22,0,0,0,0
13,2017-11-24,0,0,0,0
13,2017-11-26,0,0,0,0
13,2017-11-28,6,2,0,19
13,2017-11-29,5,0,2,9
13,2017-12-01,5,0,4,1
13,2017-12-03,2,0,1,9
13,2017-12-06,3,0,1,6
13,2017-12-09,5,2,0,2
13,2017-12-11,4,2,2,14
13,2017-12-13,7,2,0,12
13,2017-12-15,5,1,0,11
13,2017-12-16,5,3,0,7
13,2017-12-18,10,1,1,11
13,2017-12-20,5,0,0,6
13,2017-12-22,8,5,1,14
13,2017-12-23,7,4,0,9
13,2017-12-26,9,4,1,8
13,2017-12-29,5,1,1,7
13,2017-12-30,3,0,0,6
13,2018-01-03,3,1,0,0
13,2018-01-05,7,2,0,2
13,2018-01-07,2,0,0,4
13,2018-01-09,15,3,0,16
13,2018-01-10,2,5,1,15
13,2018-01-14,4,6,0,6
13,2018-01-15,5,0,1,6
13,2018-01-17,6,5,1,4
13,2018-01-19,3,2,0,9
13,2018-01-20,5,5,2,6
13,2018-01-22,5,2,0,7
13,2018-01-25,1,2,1,6
13,2018-01-27,12,0,1,8
13,2018-01-29,5,4,1,2
13,2018-01-31,5,1,0,9
13,2018-02-02,13,6,0,15
13,2018-02-03,5,0,0,4
13,2018-02-05,10,1,1,18
13,2018-02-07,5,2,0,5
13,2018-02-09,10,3,0,15
13,2018-02-13,5,3,0,11
13,2018-02-14,2,1,0,3
13,2018-02-23,8,2,0,6
13,2018-02-24,7,1,1,13
13,2018-02-27,4,0,0,1
13,2018-03-01,10,1,0,15
13,2018-03-03,0,0,0,0
13,2018-03-05,1,0,0,2
13,2018-03-06,2,0,0,0
13,2018-03-08,4,0,0,2
13,2018-03-10,8,1,0,6
13,2018-03-12,9,3,1,4
