Tag,Trainer,Franchise
ATL, Lloyd Pierce,Atlanta Hawks
BOS, Brad Stevens,Boston Celtics
BRK, Kenny Atkinson,Brooklyn Nets
CHO, James Borrego,Charlotte Hornets
CHI, Fred Hoiberg,Chicago Bulls
CLE, Larry Drew,Cleveland Cavaliers
DAL, Rick Carlisle,Dallas Mavericks
DEN, Michael Malone,Denver Nuggets
DET, Dwane Casey,Detroit Pistons
GSW, Steve Kerr Golden,State Warriors
HOU, Mike D'Antoni,Houston Rockets
IND, Nate McMillan,Indiana Pacers
LAC, Doc Rivers,LA Clippers
LAL, Luke Walton,Los Angeles Lakers
MEM, J.B. Bickerstaff,Memphis Grizzlies
MIA, Erik Spoelstra,Miami Heat
MIL, Mike Budenholzer,Milwaukee Bucks
MIN, Tom Thibodeau,Minnesota Timberwolves
NOP, Alvin Gentry,New Orleans Pelicans
NYK, David Fizdale,New York Knicks
OKC, Billy Donovan,Oklahoma City Thunder
ORL, Steve Clifford,Orlando Magic
PHI, Brett Brown,Philadelphia 76ers
PHO, Igor Kokoskov,Phoenix Suns
POR, Terry Stotts,Portland Trail Blazers
SAC, David Joerger,Sacramento Kings
SAS, Gregg Popovich,San Antonio Spurs
TOR, Nick Nurse,Toronto Raptors
UTA, Quin Snyder,Utah Jazz
WAS, Scott Brooks,Washington Wizards
