Date,Opponent,Outcome, PointsTeam, PointsOpponent
2017-10-18,Orlando Magic,L,109,116
2017-10-21,Indiana Pacers,W,112,108
2017-10-23,Atlanta Hawks,W,104,93
2017-10-25,San Antonio Spurs,L,100,117
2017-10-28,Boston Celtics,L,90,96
2017-10-30,Minnesota Timberwolves,L,122,125
2017-11-01,Chicago Bulls,W,97,91
2017-11-03,Denver Nuggets,L,94,95
2017-11-05,Los Angeles Clippers,W,104,101
2017-11-06,Golden State Warriors,L,80,97
2017-11-08,Phoenix Suns,W,126,115
2017-11-10,Utah Jazz,W,84,74
2017-11-12,Detroit Pistons,L,103,112
2017-11-15,Washington Wizards,L,93,102
2017-11-17,Washington Wizards,W,91,88
2017-11-19,Indiana Pacers,L,95,120
2017-11-22,Boston Celtics,W,104,98
2017-11-24,Minnesota Timberwolves,W,109,97
2017-11-26,Chicago Bulls,W,100,93
2017-11-28,Cleveland Cavaliers,L,97,108
2017-11-29,New York Knicks,L,86,115
2017-12-01,Charlotte Hornets,W,105,100
2017-12-03,Golden State Warriors,L,95,123
2017-12-06,San Antonio Spurs,L,105,117
2017-12-09,Brooklyn Nets,W,101,89
2017-12-11,Memphis Grizzlies,W,107,82
2017-12-13,Portland Trail Blazers,L,95,102
2017-12-15,Charlotte Hornets,W,104,98
2017-12-16,Los Angeles Clippers,W,90,85
2017-12-18,Atlanta Hawks,L,104,110
2017-12-20,Boston Celtics,W,90,89
2017-12-22,Dallas Mavericks,W,113,101
2017-12-23,New Orleans Pelicans,L,94,109
2017-12-26,Orlando Magic,W,107,89
2017-12-29,Brooklyn Nets,L,87,111
2017-12-30,Orlando Magic,W,117,111
2018-01-03,Detroit Pistons,W,111,104
2018-01-05,New York Knicks,W,107,103
2018-01-07,Utah Jazz,W,103,102
2018-01-09,Toronto Raptors,W,90,89
2018-01-10,Indiana Pacers,W,114,106
2018-01-14,Milwaukee Bucks,W,97,79
2018-01-15,Chicago Bulls,L,111,119
2018-01-17,Milwaukee Bucks,W,106,101
2018-01-19,Brooklyn Nets,L,95,101
2018-01-20,Charlotte Hornets,W,106,105
2018-01-22,Houston Rockets,L,90,99
2018-01-25,Sacramento Kings,L,88,89
2018-01-27,Charlotte Hornets,W,95,91
2018-01-29,Dallas Mavericks,W,95,88
2018-01-31,Cleveland Cavaliers,L,89,91
2018-02-02,Philadelphia 76ers,L,97,103
2018-02-03,Detroit Pistons,L,107,111
2018-02-05,Orlando Magic,L,109,111
2018-02-07,Houston Rockets,L,101,109
2018-02-09,Milwaukee Bucks,W,91,85
2018-02-13,Toronto Raptors,L,112,115
2018-02-14,Philadelphia 76ers,L,102,104
2018-02-23,New Orleans Pelicans,L,123,124
2018-02-24,Memphis Grizzlies,W,115,89
2018-02-27,Philadelphia 76ers,W,102,101
2018-03-01,Los Angeles Lakers,L,113,131
2018-03-03,Detroit Pistons,W,105,96
2018-03-05,Phoenix Suns,W,125,103
2018-03-06,Washington Wizards,L,113,117
2018-03-08,Philadelphia 76ers,W,108,99
2018-03-10,Washington Wizards,W,129,102
2018-03-12,Portland Trail Blazers,L,99,115
2018-03-14,Sacramento Kings,L,119,123
2018-03-16,Los Angeles Lakers,W,92,91
2018-03-19,Denver Nuggets,W,149,141
2018-03-21,New York Knicks,W,119,98
2018-03-23,Oklahoma City Thunder,L,99,105
2018-03-25,Indiana Pacers,L,107,113
2018-03-27,Cleveland Cavaliers,W,98,79
2018-03-29,Chicago Bulls,W,103,92
2018-03-31,Brooklyn Nets,L,109,110
2018-04-03,Atlanta Hawks,W,101,98
2018-04-04,Atlanta Hawks,W,115,86
2018-04-06,New York Knicks,L,98,122
2018-04-09,Oklahoma City Thunder,L,93,115
2018-04-11,Toronto Raptors,W,116,109
